,Model,Exp.,pr,CO2 (ppm),pr (mm/day),Model_short
0,CanESM5,2xCO2,3.5196543583241204e-05,568.6,3.04098136559204,CanESM5
0,CanESM5,1pctCO2,3.495006350856825e-05,644.976015745768,3.019685487140297,CanESM5
1,CanESM5,1pctCO2,3.502568611399525e-05,651.270188900789,3.0262192802491894,CanESM5
2,CanESM5,1pctCO2,3.493191300064672e-05,653.7063976355626,3.0181172832558767,CanESM5
0,GISS-E2-1-H,2xCO2,3.5581934053310856e-05,568.6,3.074279102206058,GISS
0,GISS-E2-1-H,1pctCO2,3.5424429937802026e-05,656.5281736435523,3.060670746626095,GISS
0,HadGEM3-GC31-LL,2xCO2,3.848098630071926e-05,568.6,3.324757216382144,HadGEM3
0,HadGEM3-GC31-LL,1pctCO2,3.817498107718145e-05,690.9890295883898,3.2983183650684778,HadGEM3
1,HadGEM3-GC31-LL,1pctCO2,3.815470072248459e-05,685.1762688114203,3.296566142422668,HadGEM3
2,HadGEM3-GC31-LL,1pctCO2,3.821160934017642e-05,676.225285514977,3.3014830469912426,HadGEM3
3,HadGEM3-GC31-LL,1pctCO2,3.815492246904014e-05,682.6581485022729,3.2965853013250683,HadGEM3
0,IPSL-CM6A-LR,2xCO2,3.6078218e-05,568.6,3.117158019449562,IPSL
0,IPSL-CM6A-LR,1pctCO2,3.581977943292998e-05,672.8746911969895,3.09482894300515,IPSL
0,MIROC6,2xCO2,3.762132199774148e-05,568.6,3.2504822206048636,MIROC6
0,MIROC6,1pctCO2,3.749474937441216e-05,620.1094673815005,3.2395463459492104,MIROC6
